BUDGET ($ million)	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
Barrier Count	0	2	3	5	7	8	10	12	15	17	20
Tide gate Count	0	2	3	5	7	8	10	12	15	17	20
Upstream Count	0	0	0	0	0	0	0	0	0	0	0
Dominant Count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
											
NET POTENTIAL BENEFIT (TARGET UNITS):											
Coho_salmon	0.0	5.86537644724425	17.076412774819516	26.677416165249088	29.185164416652206	34.31533689162184	36.81375171452922	38.263014155917105	39.30896240718387	39.93682644048208	39.93682644048208
InundHab_Current	0.0	1388.653137207031	1899.00112915039	2183.865409851072	2404.0944175720188	2439.76207065582	2550.3340806961032	2666.0504360198943	2856.7071094512908	2972.8794403076135	3143.503055572506
											
NET POTENTIAL BENEFIT (STANDARDIZED VALUES):											
Target Weights:											
InundHab_Current	1.0000										
Coho_salmon	1.0000										
Net Potential Benefit by Target:											
InundHab_Current	0.0000	0.7730	1.0570	1.2156	1.3382	1.3580	1.4196	1.4840	1.5901	1.6548	1.7498
Coho_salmon	0.0000	0.3916	1.1402	1.7813	1.9488	2.2913	2.4582	2.5549	2.6248	2.6667	2.6667
Weighted Net Gain Across Targets	0.0000	1.1646	2.1973	2.9969	3.2870	3.6494	3.8777	4.0389	4.2149	4.3215	4.4165
											
BARID	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	InSoln	Name	Cost	Region	BarrierType	Downstr BARID	PrimaryTG	DominantTG	Exclude_Reason	Coho_salmon	InundHab_Current	POINT_X	POINT_Y
10Ats1	0	1	1	1	1	1	1	1	1	1	1	10	Foster Dairy	550000	Coquille	Tide gate		1	0		3.14329095063267	824.971008300781	-124.27287483	43.18261515
36Ats1	0	1	1	1	1	1	1	1	1	1	1	10	Iowa Slough	390000	Coquille	Tide gate		1	0		2.72208549661158	563.68212890625	-124.28468037	43.15616964
61Bts1	0	0	1	1	1	1	1	1	1	1	1	9	Beaver Slough	815000	Coquille	Tide gate		1	0		10.211133178967	510.347991943359	-124.26389842	43.20806167
14ts1	0	0	0	1	1	1	1	1	1	1	1	8	Seestrom Creek	390000	Coquille	Tide gate		1	0		1.64462391508618	175.316635131835	-124.297129	43.14594066
35ts1	0	0	0	1	1	1	1	1	1	1	1	8	Sevenmile Creek	815000	Coquille	Tide gate		1	0		7.94192359001191	109.547645568847	-124.34925398	43.16793137
34ts1	0	0	0	0	1	1	1	1	1	1	1	7	Randolph Slough Island	390000	Coquille	Tide gate		1	0		0.828027580411816	176.132720947265	-124.35327645	43.16780184
13ts1	0	0	0	0	0	1	1	1	1	1	1	6	Hatchet Slough	815000	Coquille	Tide gate		1	0		3.36809026748528	68.9256973266601	-124.2961944	43.15446634
15ts1	0	0	0	0	1	0	1	1	1	1	1	6	Alder Creek	550000	Coquille	Tide gate		1	0		0.638988431140058	44.0962867736816	-124.29021283	43.13570577
37ts1	0	0	0	0	0	1	1	1	1	1	1	6	Gray Creek	815000	Coquille	Tide gate		1	0		3.44180287847565	10.8382425308227	-124.17692698	43.11761781
22ts1	0	0	0	0	0	0	1	1	1	1	1	5		390000	Coquille	Tide gate		1	0		0.818694151916082	66.4757232666015	-124.3184429	43.12539158
18ts1	0	0	0	0	0	0	0	1	1	1	1	4	Cochran Property	390000	Coquille	Tide gate		1	0		0.485378244466683	105.995895385742	-124.29103766	43.12416237
55Ats1	0	0	0	0	0	0	0	1	1	1	1	4	Offield Creek	390000	Coquille	Tide gate		1	0		0.963884196921208	9.72045993804931	-124.3388371	43.15868445
19ts1	0	0	0	0	0	0	0	0	1	1	1	3	 	390000	Coquille	Tide gate		1	0		0.344776853060679	60.8874282836914	-124.29245819	43.12148639
25ts1	0	0	0	0	0	0	0	0	1	1	1	3	 	390000	Coquille	Tide gate		1	0		0.197403199124444	92.2558441162109	-124.34244277	43.13939674
54ts1	0	0	0	0	0	0	0	0	1	1	1	3	 	390000	Coquille	Tide gate		1	0		0.503768199081642	37.5134010314941	-124.33955482	43.15202949
16ts1	0	0	0	0	0	0	0	0	0	1	1	2	Cochran Project	390000	Coquille	Tide gate		1	0		0.62786403329821	18.8768062591552	-124.29025272	43.13453179
23ts1	0	0	0	0	0	0	0	0	0	1	1	2	Hamdock Creek	390000	Coquille	Tide gate		1	0			97.2955245971679	-124.33653612	43.13540226
