BARID	REGION	DSID	USHAB1	USHAB2	PREPASS1	PREPASS2	NPROJ	COST	POSTPASS1	POSTPASS2
039Ats1	Coquille	NA	0	0	0	0	0	0	1	1
039Bts1	Coquille	NA	0	0	0	0	0	0	1	1
039Cts1	Coquille	NA	0	0	0	0	0	0	1	1
039Dts1	Coquille	NA	0	0	0	0	0	0	1	1
039Ets1	Coquille	NA	0	0	0	0	0	0	1	1
0ts2	Coos	46ts2	0	0	0	0	0	0	1	1
100ts1	Coquille	NA	0	0	0	0	0	0	1	1
100ts2	Coos	99ts2	0.00599922	0	0	0	1	85000	1	1
10145fs1	Coquille	15ts1	0	0.069492567	0	1	1	75000	1	1
10150fs2	Coos	10151fs2	0	0	0	1	1	150000	1	1
10151fs2	Coos	46ts2	0	0.09750801	0	1	1	300000	1	1
10152fs2	Coos	46ts2	0	0	0	1	1	150000	1	1
10153fs2	Coos	48ts2	0	0.200048254	0	1	1	300000	1	1
101ts1	Coquille	NA	0	0	0	0	0	0	1	1
101ts2	Coos	NA	0	0	0	0	0	0	1	1
10245fs1	Coquille	3978fs1	0	0	0	1	0	75000	1	1
102ts1	Coquille	NA	0	0	0	0	0	0	1	1
102ts2	Coos	NA	0	0	0	0	0	0	1	1
10317fs2	Coos	10151fs2	0	0	0	0	0	0	1	1
103ts1	Coquille	NA	0	0	0	0	0	0	1	1
103ts2	Coos	NA	0	0	0	0	0	0	1	1
104ts1	Coquille	NA	0	0	0	0	0	0	1	1
104ts2	Coos	NA	0	0	0	0	0	0	1	1
10571fs1	Coquille	3703fs1	0	0	0	1	1	75000	1	1
105ts1	Coquille	NA	0	0	0	0	0	0	1	1
105ts2	Coos	NA	0	0	0	0	0	0	1	1
106ts1	Coquille	NA	0	0	0	0	0	0	1	1
106ts2	Coos	NA	0.033833641	0.098006523	0	0	1	300000	1	1
107ts1	Coquille	NA	0	0	0	0	0	0	1	1
107ts2	Coos	NA	0	0	0	0	0	0	1	1
108ts2	Coos	NA	0	0	0	0	0	0	1	1
109ts2	Coos	NA	0.002725171	0.011143887	0	0	1	60000	1	1
10Ats1	Coquille	NA	0.459202709	0.209886222	0	0	1	550000	1	1
10ts2	Coos	NA	0.003100726	0	0	0	1	60000	1	1
10ts5	Umpqua	NA	0	0	0	0	0	0	1	1
110ts2	Coos	NA	0	0	0	0	1	85000	1	1
111ts2	Coos	NA	0.006368778	0	0	0	1	60000	1	1
112ts2	Coos	NA	0.014933376	0	0	0	1	60000	1	1
113ts2	Coos	NA	0.015434729	0	0	0	1	60000	1	1
114ts2	Coos	NA	0.015062263	0	0	0	1	60000	1	1
115ts2	Coos	NA	0.039854603	0	0	0	1	150000	1	1
116ts2	Coos	NA	0.013546652	0	0	0	1	60000	1	1
117ts2	Coos	NA	0.003666008	0	0	0	1	60000	1	1
118ts2	Coos	NA	0.00101203	0	0	0	1	60000	1	1
119ts2	Coos	NA	0.00518996	0	0	0	1	85000	1	1
11Ats1	Coquille	NA	0	0	0	0	0	0	1	1
11Bts1	Coquille	NA	0	0	0	0	0	0	1	1
11ts2	Coos	NA	0.001451771	0	0	0	1	60000	1	1
11ts5	Umpqua	NA	0	0	0	0	0	0	1	1
120ts2	Coos	NA	0.00666603	0	0	0	1	85000	1	1
121ts2	Coos	NA	0.019714506	0	0	0.400000006	1	85000	1	1
12241fs2	Coos	15621fs2	0	0	0	0.400000006	0	0	1	1
122ts2	Coos	NA	0.013799736	0	0	0	1	60000	1	1
123ts2	Coos	NA	0.071768004	0	0	0	1	300000	1	1
124ts2	Coos	52ts2	0.039431148	0	0	0	1	85000	1	1
125ts2	Coos	52ts2	0	0	0	0	0	0	1	1
126ts2	Coos	48ts2	0	0	0	0	0	0	1	1
127ts2	Coos	48ts2	0.011329709	0	0	0	1	60000	1	1
128ts2	Coos	52ts2	0	0	0	0	0	0	1	1
129ts2	Coos	45ts2	0.008098249	0	0	0	1	60000	1	1
12Ats1	Coquille	NA	0	0	0	0	0	0	1	1
12Bts1	Coquille	NA	0	0	0	0	0	0	1	1
12Dts1	Coquille	NA	1	1	0	0	0	815000	1	1
12ts2	Coos	NA	0.004449373	0	0	0	1	85000	1	1
12ts5	Umpqua	NA	0	0	0	0	0	0	1	1
130ts2	Coos	45ts2	0.020802045	0	0	0	1	150000	1	1
132ts2	Coos	99ts2	0	0	0	0	0	0	1	1
133ts2	Coos	99ts2	0.013558521	0	0	0	1	85000	1	1
134ts2	Coos	99ts2	0	0	0	0	0	0	1	1
135ts2	Coos	22ts2	0.041737906	0	0	0	1	150000	1	1
136ts2	Coos	NA	0.001181017	0	0	0	1	60000	1	1
13743fs2	Coos	67ts2	0	0	0	1	1	150000	1	1
137ts2	Coos	NA	0.001849196	0	0	0	1	85000	1	1
138ts2	Coos	NA	0.008137183	0	0	0	1	85000	1	1
139ts2	Coos	NA	0.002282717	0	0	0	1	150000	1	1
13ts1	Coquille	NA	0.038366035	0.224896694	0	0	1	815000	1	1
13ts2	Coos	NA	0.025046787	0	0	0	1	85000	1	1
13ts5	Umpqua	NA	0.025761205	0	0	0	1	85000	1	1
14072fs5	Umpqua	5ts5	0	0	0	0	1	75000	1	1
140ts2	Coos	48ts2	0	0	0	0	0	0	1	1
14158fs2	Coos	15622fs2	0	0	0	1	1	75000	1	1
141ts2	Coos	48ts2	0	0	0	0	0	0	1	1
142ts2	Coos	NA	0.00609294	0	0	0	1	60000	1	1
143ts2	Coos	NA	0.003256336	0	0	0	1	85000	1	1
144ts2	Coos	NA	0.004118992	0	0	0	1	60000	1	1
145ts2	Coos	48ts2	0	0	0	0	0	0	1	1
146ts2	Coos	48ts2	0	0	0	0	1	1000000	1	1
14762fs5	Umpqua	1ts5	0	0	0	0	1	75000	1	1
14766fs2	Coos	8917fs2	0	0	0	0.400000006	1	150000	1	1
147ts2	Coos	48ts2	0	0	0	0	0	0	1	1
148ts2	Coos	99ts2	0	0	0	0	0	0	1	1
149ts2	Coos	99ts2	0	0	0	0	0	0	1	1
14ts1	Coquille	NA	0.097586307	0.109816083	0	0	1	390000	1	1
14ts2	Coos	NA	0.004923087	0.049241364	0	0	1	150000	1	1
14ts5	Umpqua	NA	0.012518625	0	0	0	1	60000	1	1
150ts2	Coos	99ts2	0	0	0	0	0	0	1	1
151ts2	Coos	NA	0.002018047	0	0	0	1	85000	1	1
15201fs5	Umpqua	5ts5	0	0	0	0	1	75000	1	1
15209fs5	Umpqua	1ts5	0	0	0	0	1	75000	1	1
152ts2	Coos	NA	0.072237923	0.053340029	0	0	1	150000	1	1
153ts2	Coos	NA	0.029964034	0	0	0	1	600000	1	1
154ts2	Coos	NA	0.007833517	0.013551999	0	0	1	200000	1	1
155ts2	Coos	NA	0.006745921	0	0	0	1	60000	1	1
15621fs2	Coos	13743fs2	0	0	0	1	1	150000	1	1
15622fs2	Coos	NA	0	0	0	1	1	75000	1	1
15637fs1	Coquille	10Ats1	0	0	0	1	1	75000	1	1
156ts2	Coos	NA	0.012774916	0	0	0	1	85000	1	1
157ts2	Coos	NA	0.003539242	0.002921101	0	0	1	85000	1	1
158ts2	Coos	157ts2	0.005713967	0	0	0	0	0	1	1
15926fs2	Coos	8917fs2	0	0.056509161	0	0.400000006	1	300000	1	1
15938fs1	Coquille	12Dts1	0	0.134597991	0	1	0	75000	1	1
159ts2	Coos	NA	0	0	0	0	1	300000	1	1
15ts1	Coquille	NA	0.024545268	0.042667023	0	0	1	550000	1	1
15ts2	Coos	NA	0.043790263	0.190085184	0	0	1	450000	1	1
15ts5	Umpqua	NA	0.002893597	0	0	0	1	60000	1	1
16092fs1	Coquille	14ts1	0	0.000965259	0	1	1	75000	1	1
160ts2	Coos	NA	0.006098919	0	0	0	1	60000	1	1
16186fs5	Umpqua	5ts5	0	0	0	0	1	75000	1	1
161ts2	Coos	NA	0.110169223	0.178540218	0	0	1	300000	1	1
16385fs1	Coquille	61Bts1	0	0	0	0	1	75000	1	1
16894fs2	Coos	119ts2	0	0	0	1	1	75000	1	1
16ts1	Coquille	NA	0.010507376	0.041924216	0	0	1	390000	1	1
16ts2	Coos	NA	5.61E-06	0	0	0	1	60000	1	1
16ts5	Umpqua	NA	0.002441355	0	0	0	1	60000	1	1
17241fs2	Coos	120ts2	0	0	0	1	1	150000	1	1
17243fs2	Coos	8917fs2	0	0	0	0.100000001	1	150000	1	1
17584fs1	Coquille	10245fs1	0	0	0	1	1	75000	1	1
17ts1	Coquille	NA	0	0	0	0	0	0	1	1
17ts2	Coos	NA	0.009913427	0	0	0	1	150000	1	1
17ts5	Umpqua	NA	0.001342317	0	0	0	1	60000	1	1
18177fs2	Coos	29011fs2	0	0	0	0	0	0	1	1
18269fs2	Coos	29011fs2	0	0	0	0	0	0	1	1
18863fs2	Coos	3987fs2	0	0	0	0	0	0	1	1
18ts1	Coquille	NA	0.059000379	0.032410047	0	0	1	390000	1	1
18ts2	Coos	NA	0.005396834	0	0	0	1	60000	1	1
18ts5	Umpqua	NA	0.013791584	0	0	0	1	150000	1	1
19ts1	Coquille	NA	0.033891703	0.023021703	0	0	1	390000	1	1
19ts2	Coos	NA	0.003315187	0	0	0	1	150000	1	1
19ts5	Umpqua	NA	0.000220441	0	0	0	1	60000	1	1
1ts2	Coos	NA	0.073092877	0.031831516	0	0	1	85000	1	1
1ts5	Umpqua	NA	0.18534528	0.067569278	0	0	1	300000	1	1
20ts1	Coquille	NA	0.020697697	0	0	0	1	390000	1	1
20ts2	Coos	NA	0	0	0	0	0	0	1	1
20ts5	Umpqua	NA	0.025740365	0	0	0	1	150000	1	1
21ts1	Coquille	NA	0.044080047	0.01719809	0	0	0	0	1	1
21ts2	Coos	NA	0.018153077	0	0	0	1	200000	1	1
22ts1	Coquille	NA	0.037002309	0.054666471	0	0	1	390000	1	1
22ts2	Coos	NA	0.064049712	0.352072094	0	0.400000006	1	600000	1	1
23838fs2	Coos	106ts2	0	0	0	0	1	75000	1	1
23901fs1	Coquille	61Bts1	0	0	0	0	1	75000	1	1
23976fs2	Coos	3892fs2	0	0.085488958	0	0.100000001	1	300000	1	1
23ts1	Coquille	NA	0.054157501	0	0	0	1	390000	1	1
23ts2	Coos	NA	0	0	0	0	0	0	1	1
24501fs2	Coos	10151fs2	0	0.104709262	0	0	1	300000	1	1
24521fs2	Coos	138ts2	0	0	0	0.100000001	1	300000	1	1
24524fs2	Coos	23976fs2	0	0	0	0	1	150000	1	1
24527fs2	Coos	10151fs2	0	0	0	0	1	75000	1	1
24748fs2	Coos	8916fs2	0	0	0	0	1	150000	1	1
24ts1	Coquille	NA	0.011766231	0	0	0	1	390000	1	1
24ts2	Coos	22ts2	0.018123738	0.054763465	0	0	1	200000	1	1
25ts1	Coquille	NA	0.05135227	0.013181157	0	0	1	390000	1	1
25ts2	Coos	22ts2	0	0	0	0	0	0	1	1
26ts1	Coquille	NA	0	0	0	0	0	0	1	1
26ts2	Coos	NA	0.047414504	0.100071486	0	0	1	300000	1	1
2751fs2	Coos	6ts2	0	0	0	1	1	150000	1	1
27ts1	Coquille	NA	0	0	0	0	0	0	1	1
27ts2	Coos	NA	0.131435894	0.02078145	0	0	1	600000	1	1
28665fs2	Coos	44832fs2	0	0	0	0	0	0	1	1
28666fs2	Coos	28665fs2	0	0	0	0	0	0	1	1
28667fs2	Coos	52ts2	0	0	0	0.100000001	0	0	1	1
28668fs2	Coos	52ts2	0	0	0	0.400000006	0	0	1	1
28669fs2	Coos	52ts2	0	0	0	0.400000006	0	0	1	1
28670fs2	Coos	52ts2	0	0	0	0.400000006	0	0	1	1
28671fs2	Coos	52ts2	0	0	0	0.100000001	0	0	1	1
28ts1	Coquille	NA	0	0	0	0	0	0	1	1
28ts2	Coos	NA	0.0141479	0	0	0	1	60000	1	1
29009fs2	Coos	153ts2	0	0	0	0	1	300000	1	1
29010fs2	Coos	32951fs2	0	0	0	0	1	300000	1	1
29011fs2	Coos	90fs2	0	0	0	0	1	300000	1	1
29023fs2	Coos	32951fs2	0	0	0	0	1	150000	1	1
29413fs1	Coquille	17584fs1	0	0	0	1	1	75000	1	1
29464fs2	Coos	NA	0	0	0	0	1	75000	1	1
29ts1	Coquille	NA	0	0	0	0	0	0	1	1
29ts2	Coos	NA	0.023213483	0	0	0	1	60000	1	1
2ts2	Coos	NA	0.035821804	0.036941243	0	0	1	60000	1	1
2ts5	Umpqua	NA	0	0	0	0	0	85000	1	1
30ts1	Coquille	NA	0	0	0	0	0	0	1	1
30ts2	Coos	NA	0	0	0	0	0	0	1	1
31ts1	Coquille	NA	0.025091815	0	0	0	1	390000	1	1
31ts2	Coos	6ts2	0.012047074	0.030752079	0	0	1	60000	1	1
32733fs2	Coos	99ts2	0	0.003959755	0	0	0	0	1	1
32951fs2	Coos	29009fs2	0	0	0	1	0	0	1	1
32ts1	Coquille	NA	0.007286163	0	0	0	1	390000	1	1
32ts2	Coos	NA	0.002608157	0	0	0	1	85000	1	1
